EVENT_ID,EVENT_Type,Event_Lat,Event_Long,Hurricane_Lat,Hurricane_Long,Hurricane_Name,TRACK_ID,Bearing,Distance,Date_Diff
5699956,Flood,42.736337,-94.687507,20.4,-97.3,UNNAMED,4409,6.671094191,384.2737743,540000
5699951,Flood,42.384584,-94.650038,20.4,-97.3,UNNAMED,4409,6.873118472,384.2688098,540000
5718579,Flood,28.258619,-80.748656,21.69,-94.45,BRET,4462,64.3862788,1521.318032,0
5719020,Flash Flood,27.439541,-97.734933,28.04,-100.09,BRET,4540,284.3036539,262.0725451,1800
5715066,Flash Flood,36.380966,-97.779204,20.4,-97.3,UNNAMED,4409,178.2824479,238.3372705,553740
5715067,Flash Flood,36.31382,-98.532132,20.4,-97.3,UNNAMED,4409,175.5726908,278.2697682,556500
5713266,Flash Flood,34.527032,-77.915989,32.8,-77.6,DENNIS,4693,169.6314781,53.77996464,2700
5717904,Flash Flood,41.33248,-75.033092,40.22,-73.78,FLOYD,5051,131.5982833,143.2443102,0
5719231,Flood,38.20917,-94.842463,20.1,-94.1,UNNAMED,5195,177.652229,176.3167271,432000
5719100,Flash Flood,36.349966,-85.282336,22.85,-71.66,DENNIS,4569,134.7414955,1533.959359,900
5718106,Flash Flood,39.974765,-75.756609,24.93,-74.59,DENNIS,4617,175.5660136,445.9036214,0
5717585,Flash Flood,34.26183,-77.895484,31.53,-79.56,IRENE,5372,31.3541348,194.3267961,1800
5706546,Flash Flood,39.19378,-95.033583,20.4,-97.3,UNNAMED,4409,6.8763213,334.3372952,460920
5719189,Flash Flood,35.790145,-80.208036,20.6,-96.3,UNNAMED,4403,46.65129901,1774.29831,86400
5705106,Flood,38.844814,-92.813153,20.4,-97.3,UNNAMED,4409,13.67210081,524.3579538,432000
5717305,Flash Flood,35.589324,-77.377586,31.34,-78.96,FLOYD,5025,20.42492507,200.7496631,780
5701832,Flash Flood,35.188476,-85.161498,20.4,-95.65,UNNAMED,4400,35.34559297,1156.603036,172800
5705097,Flood,38.562666,-94.8373,20.4,-97.3,UNNAMED,4409,7.721719325,344.0126109,345600
5716765,Flash Flood,35.385036,-80.550656,18.89,-93.82,UNNAMED,5211,38.81475337,1462.938619,432000
5705096,Flood,39.525217,-95.305886,20.4,-97.3,UNNAMED,4409,5.952505507,319.1106534,518400
5698990,Flash Flood,29.359158,-99.765318,35.4,-61.6,ARLENE,4396,261.0057857,4239.174895,455400
5698991,Flash Flood,28.864592,-99.76225,35.4,-61.6,ARLENE,4396,260.2821821,4238.047923,455400
5719737,Flood,41.637911,-90.625117,20.4,-97.3,UNNAMED,4409,17.44746089,747.3569495,68400
5719734,Flood,41.770922,-91.134594,20.4,-97.3,UNNAMED,4409,16.09259086,695.7498974,68400
5719735,Flood,41.899062,-90.53579,20.4,-97.3,UNNAMED,4409,17.46504277,756.6054496,68400
5719736,Flood,41.482898,-91.110231,20.4,-97.3,UNNAMED,4409,16.36181394,697.9421812,68400
5719738,Flood,41.21772,-91.260838,20.4,-97.3,UNNAMED,4409,16.17729528,682.4892561,68400
5713875,Flash Flood,40.771056,-77.07286,20.78,-94.44,BRET,4455,40.98233212,1908.741839,2700
5722598,Flash Flood,39.921827,-76.726068,38.5,-78.5,DENNIS,4909,51.28742222,200.1321761,0
5722711,Flash Flood,41.344522,-77.069734,41.19,-76.99,DENNIS,4923,152.7060762,9.668409502,0
5717475,Flash Flood,36.679891,-80.281292,45.5,-75.6,DENNIS,4964,207.9572245,557.949873,92340
5718371,Flash Flood,36.633553,-96.402927,23.75,-70.67,FLOYD,4965,116.5954837,2847.708123,86400
5701831,Flash Flood,35.188476,-85.161498,20.4,-95.65,UNNAMED,4400,35.34559297,1156.603036,175800
5700928,Flood,35.591275,-94.238941,20.4,-97.3,UNNAMED,4409,11.39260866,377.5072184,295200
5700932,Flood,35.470454,-96.317299,20.4,-97.3,UNNAMED,4409,3.730811358,225.7916625,385200
5713318,Flash Flood,32.393496,-85.69087,21.69,-94.45,BRET,4462,39.29493501,969.7193584,1800
5713874,Flash Flood,40.851425,-76.7122,20.78,-94.44,BRET,4455,41.45209263,1948.506214,2700
5700933,Flood,35.908811,-96.36844,35.4,-61.6,ARLENE,4396,90.83842249,3866.056235,518400
5700934,Flood,35.908811,-96.36844,20.4,-97.3,UNNAMED,4409,3.437426864,228.8992128,280800
5713235,Flash Flood,36.502947,-87.379836,20.4,-97.3,UNNAMED,4409,31.63500028,1094.613049,122400
5700929,Flood,35.202419,-94.270633,20.4,-97.3,UNNAMED,4409,11.56607314,372.7922579,295200
5700930,Flood,35.653025,-95.959321,20.4,-97.3,UNNAMED,4409,5.023157257,244.8582053,385200
5700931,Flood,35.908811,-96.36844,20.4,-97.3,UNNAMED,4409,3.437426864,228.8992128,385200
5718027,Flash Flood,42.598468,-73.970884,40.22,-73.78,FLOYD,5051,175.4115603,76.45080606,2700
5702229,Flash Flood,35.925857,-83.118574,20.4,-97.3,UNNAMED,4409,42.40879372,1562.392739,324000
5710631,Flood,40.522188,-97.134338,20.4,-97.3,UNNAMED,4409,0.471694181,280.2645916,288000
5717473,Flash Flood,37.606304,-79.145325,45.5,-75.6,DENNIS,4964,204.1864558,437.5632033,100200
5715515,Flash Flood,31.890358,-109.750719,20.4,-97.3,UNNAMED,4409,132.7028959,1409.662892,592800
5713863,Flash Flood,42.251285,-78.675437,21.69,-94.45,BRET,4462,37.495324,1731.16235,600
5715068,Flood,36.820073,-97.14448,20.4,-97.3,UNNAMED,4409,0.542651254,229.4075646,97200
5713864,Flash Flood,42.756488,-78.725286,21.69,-94.45,BRET,4462,36.73886046,1724.516027,2400
5713870,Flash Flood,42.756488,-78.725286,26,-76.04,DENNIS,4636,170.8955612,501.8490918,600
5710961,Flash Flood,32.475448,-104.295495,20.4,-97.3,UNNAMED,4409,149.9156194,813.3745605,640800
5715399,Flood,26.905289,-81.890678,20.33,-95.43,UNNAMED,4399,64.09675557,1503.114677,2700
5699098,Flash Flood,29.461944,-97.497735,20.4,-95.65,UNNAMED,4400,168.4753423,235.0162043,604800
5693305,Flood,37.190543,-98.074805,35.4,-61.6,ARLENE,4396,92.81038563,4055.469255,448440
5713268,Flash Flood,40.127562,-89.374059,19.58,-94.59,BRET,4421,14.24351667,576.0761006,518400
5706461,Flash Flood,39.006801,-94.352133,20.4,-97.3,UNNAMED,4409,9.002520998,385.2032035,461700
5718590,Flood,41.637911,-90.625117,27.82,-99.12,BRET,4533,31.58209111,946.745175,300
5723788,Flash Flood,33.202826,-79.947138,31.53,-79.56,IRENE,5372,166.9695773,54.29053883,2400
5706547,Flood,39.19378,-95.033583,20.45,-97.15,UNNAMED,4408,6.442154787,320.0241401,432000
5706549,Flood,39.006801,-94.352133,35.4,-61.6,ARLENE,4396,96.28432696,3641.034076,453600
5719166,Flash Flood,42.701193,-82.932627,38.1,-78.96,DENNIS,4905,139.192981,448.6650187,0
5710130,Flash Flood,44.003484,-92.405759,27.6,-98.8,BRET,4530,21.29633068,725.8076654,1800
